pH,Temperature,Contact time,Initial concentration,Adsorbent dosage,Adsorption capacity,Adsorbent
7,25,30,30.0,0.15,85.45114121,NaOH-activated SCW biochars
7,25,60,30.0,0.15,92.14540113,NaOH-activated SCW biochars
7,25,120,30.0,0.15,95.45575979,NaOH-activated SCW biochars
7,25,240,30.0,0.15,102.0173098,NaOH-activated SCW biochars
7,25,480,30.0,0.15,86.33087176,NaOH-activated SCW biochars
7,25,720,30.0,0.15,99.37428786,NaOH-activated SCW biochars
7,25,960,30.0,0.15,98.53143789,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,107.8474291,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,122.2710243,NaOH-activated SCW biochars
7,25,60,30.0,0.15,73.19550477,NaOH-activated SCW biochars
7,25,120,30.0,0.15,86.91503319,NaOH-activated SCW biochars
7,25,240,30.0,0.15,68.53641667,NaOH-activated SCW biochars
7,25,480,30.0,0.15,87.9671812,NaOH-activated SCW biochars
7,25,720,30.0,0.15,62.81852335,NaOH-activated SCW biochars
7,25,960,30.0,0.15,72.58487273,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,72.58487273,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,55.28905586,NaOH-activated SCW biochars
7,25,60,30.0,0.15,75.21676107,NaOH-activated SCW biochars
7,25,120,30.0,0.15,69.24782798,NaOH-activated SCW biochars
7,25,240,30.0,0.15,89.11830469,NaOH-activated SCW biochars
7,25,480,30.0,0.15,68.49643457,NaOH-activated SCW biochars
7,25,720,30.0,0.15,79.15079906,NaOH-activated SCW biochars
7,25,960,30.0,0.15,80.96391749,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,73.1777263,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,71.26186908,NaOH-activated SCW biochars
7,25,60,30.0,0.15,73.30368092,NaOH-activated SCW biochars
7,25,120,30.0,0.15,79.17594846,NaOH-activated SCW biochars
7,25,240,30.0,0.15,79.91301527,NaOH-activated SCW biochars
7,25,480,30.0,0.15,65.97291703,NaOH-activated SCW biochars
7,25,720,30.0,0.15,75.44196368,NaOH-activated SCW biochars
7,25,960,30.0,0.15,79.93079374,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,87.71698493,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,90.16372742,NaOH-activated SCW biochars
7,25,60,30.0,0.15,101.6589423,NaOH-activated SCW biochars
7,25,120,30.0,0.15,131.7447333,NaOH-activated SCW biochars
7,25,240,30.0,0.15,159.1299781,NaOH-activated SCW biochars
7,25,480,30.0,0.15,167.0261165,NaOH-activated SCW biochars
7,25,720,30.0,0.15,174.3891721,NaOH-activated SCW biochars
7,25,960,30.0,0.15,174.5851161,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,174.4023557,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,97.30484165,NaOH-activated SCW biochars
7,25,60,30.0,0.15,104.2284102,NaOH-activated SCW biochars
7,25,120,30.0,0.15,130.5675555,NaOH-activated SCW biochars
7,25,240,30.0,0.15,137.6983484,NaOH-activated SCW biochars
7,25,480,30.0,0.15,166.7371919,NaOH-activated SCW biochars
7,25,720,30.0,0.15,169.4636967,NaOH-activated SCW biochars
7,25,960,30.0,0.15,174.0739176,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,174.6533266,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,81.21305296,NaOH-activated SCW biochars
7,25,60,30.0,0.15,105.2579301,NaOH-activated SCW biochars
7,25,120,30.0,0.15,130.9519993,NaOH-activated SCW biochars
7,25,240,30.0,0.15,153.5606127,NaOH-activated SCW biochars
7,25,480,30.0,0.15,165.6472907,NaOH-activated SCW biochars
7,25,720,30.0,0.15,179.0690258,NaOH-activated SCW biochars
7,25,960,30.0,0.15,174.0987509,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,174.0997342,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,48.76561963,NaOH-activated SCW biochars
7,25,60,30.0,0.15,59.25733972,NaOH-activated SCW biochars
7,25,120,30.0,0.15,75.37698164,NaOH-activated SCW biochars
7,25,240,30.0,0.15,82.2331982,NaOH-activated SCW biochars
7,25,480,30.0,0.15,81.07539783,NaOH-activated SCW biochars
7,25,720,30.0,0.15,83.55758536,NaOH-activated SCW biochars
7,25,960,30.0,0.15,83.15424445,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,77.84886873,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,49.82859055,NaOH-activated SCW biochars
7,25,60,30.0,0.15,61.17099034,NaOH-activated SCW biochars
7,25,120,30.0,0.15,73.87287411,NaOH-activated SCW biochars
7,25,240,30.0,0.15,84.01079555,NaOH-activated SCW biochars
7,25,480,30.0,0.15,83.48408389,NaOH-activated SCW biochars
7,25,720,30.0,0.15,82.83055081,NaOH-activated SCW biochars
7,25,960,30.0,0.15,82.32420485,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,77.22438452,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,48.58470016,NaOH-activated SCW biochars
7,25,60,30.0,0.15,60.68388993,NaOH-activated SCW biochars
7,25,120,30.0,0.15,73.12544754,NaOH-activated SCW biochars
7,25,240,30.0,0.15,80.48293555,NaOH-activated SCW biochars
7,25,480,30.0,0.15,81.93930885,NaOH-activated SCW biochars
7,25,720,30.0,0.15,82.6411851,NaOH-activated SCW biochars
7,25,960,30.0,0.15,82.6411851,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,77.29375601,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,38.20195295,NaOH-activated SCW biochars
7,25,60,30.0,0.15,49.12704629,NaOH-activated SCW biochars
7,25,120,30.0,0.15,63.24195191,NaOH-activated SCW biochars
7,25,240,30.0,0.15,65.04069084,NaOH-activated SCW biochars
7,25,480,30.0,0.15,65.18409441,NaOH-activated SCW biochars
7,25,720,30.0,0.15,65.30178063,NaOH-activated SCW biochars
7,25,960,30.0,0.15,65.65806376,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,62.05258655,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,38.28960079,NaOH-activated SCW biochars
7,25,60,30.0,0.15,47.76470588,NaOH-activated SCW biochars
7,25,120,30.0,0.15,62.99284614,NaOH-activated SCW biochars
7,25,240,30.0,0.15,65.00045691,NaOH-activated SCW biochars
7,25,480,30.0,0.15,65.31376465,NaOH-activated SCW biochars
7,25,720,30.0,0.15,66.30728963,NaOH-activated SCW biochars
7,25,960,30.0,0.15,66.37257513,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,61.42780915,NaOH-activated SCW biochars
7,25,0,30.0,0.15,0.0,NaOH-activated SCW biochars
7,25,30,30.0,0.15,37.61648521,NaOH-activated SCW biochars
7,25,60,30.0,0.15,53.95005352,NaOH-activated SCW biochars
7,25,120,30.0,0.15,62.754432,NaOH-activated SCW biochars
7,25,240,30.0,0.15,58.29815148,NaOH-activated SCW biochars
7,25,480,30.0,0.15,61.55100389,NaOH-activated SCW biochars
7,25,720,30.0,0.15,62.44209028,NaOH-activated SCW biochars
7,25,960,30.0,0.15,61.30115402,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,61.32747771,NaOH-activated SCW biochars
7,25,1440,10.0,0.15,64.28113937,NaOH-activated SCW biochars
7,25,1440,20.0,0.15,130.2845151,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,188.691543,NaOH-activated SCW biochars
7,25,1440,40.0,0.15,250.8498015,NaOH-activated SCW biochars
7,25,1440,50.0,0.15,267.7647505,NaOH-activated SCW biochars
7,25,1440,10.0,0.15,64.2882987,NaOH-activated SCW biochars
7,25,1440,20.0,0.15,130.4479165,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,189.7662175,NaOH-activated SCW biochars
7,25,1440,40.0,0.15,236.0124778,NaOH-activated SCW biochars
7,25,1440,50.0,0.15,265.9695332,NaOH-activated SCW biochars
7,25,1440,10.0,0.15,64.28994126,NaOH-activated SCW biochars
7,25,1440,20.0,0.15,129.7318822,NaOH-activated SCW biochars
7,25,1440,30.0,0.15,192.3271992,NaOH-activated SCW biochars
7,25,1440,40.0,0.15,246.5544737,NaOH-activated SCW biochars
